size=8,8
start=0,0
end=7,5
#the nodes are numbered as starting from x=0, y=0, then x=0, y=1, etc.
#format = node index, up, down, right, left
#up, down, right, left are booleans that indicate if the node is connected to the node above, below, to the right, and to the left
0,false,true,true,false
1,true,true,false,false
2,true,false,true,false
3,false,true,true,false
4,true,true,false,false
5,true,true,false,false
6,true,false,false,false
7,false,false,true,false
8,false,true,true,true
9,true,false,false,false
10,false,false,true,true
11,false,false,true,true
12,false,true,false,false
13,true,true,true,false
14,true,true,false,false
15,true,false,true,true
16,false,true,true,true
17,true,false,false,false
18,false,true,false,true
19,true,true,false,true
20,true,false,true,false
21,false,true,false,true
22,true,false,false,false
23,false,false,true,true
24,false,true,false,true
25,true,true,false,false
26,true,true,false,false
27,true,false,true,false
28,false,true,false,true
29,true,true,false,false
30,true,true,false,false
31,true,false,false,true
32,false,true,true,false
33,true,false,false,false
34,true,true,false,false
35,true,true,false,true
36,true,true,false,false
37,true,false,false,false
38,false,true,true,false
39,true,false,true,false
40,false,false,true,true
41,false,true,true,false
42,true,true,true,false
43,true,true,true,false
44,true,true,false,false
45,true,true,true,false
46,true,false,false,true
47,false,false,true,true
48,false,false,true,true
49,false,true,false,true
50,true,false,false,true
51,false,false,true,true
52,false,true,false,false
53,true,false,true,true
54,false,false,true,false
55,false,false,true,true
56,false,true,false,true
57,true,true,false,false
58,true,true,false,false
59,true,true,false,true
60,true,false,false,false
61,false,false,false,true
62,false,true,false,true
63,true,false,false,true
