size=7,6
start=0,3
end=6,3
#the nodes are numbered as starting from x=0, y=0, then x=0, y=1, etc.
#format = node index, up, down, right, left
#up, down, right, left are booleans that indicate if the node is connected to the node above, below, to the right, and to the left
0,false,true,true,false
1,true,true,false,false
2,true,false,false,false
3,false,true,true,false
4,true,true,false,false
5,true,false,true,false
6,false,true,true,true
7,true,true,false,false
8,true,true,false,false
9,true,false,false,true
10,false,false,true,false
11,false,false,true,true
12,false,true,false,true
13,true,true,false,false
14,true,true,false,false
15,true,true,false,false
16,true,false,true,true
17,false,false,true,true
18,false,true,true,false
19,true,true,false,false
20,true,true,false,false
21,true,true,false,false
22,true,false,false,true
23,false,false,true,true
24,false,true,false,true
25,true,true,false,false
26,true,true,false,false
27,true,true,false,false
28,true,false,true,false
29,false,false,true,true
30,false,true,true,false
31,true,true,false,false
32,true,true,false,false
33,true,true,false,false
34,true,false,false,true
35,false,false,true,true
36,false,true,false,true
37,true,true,false,false
38,true,true,false,false
39,true,true,false,false
40,true,true,false,false
41,true,false,false,true
